feature	weight
1	EEF1A1	0.556642464311395
2	MT1E	-0.0973402372074438
3	BACH2	0.214445279334878
4	TMSB4X	-0.20550084584074
5	LOC693848	0.0303165196930073
6	LOC712274	0.0115869111552718
7	LOC708686	0.0238087399344565
8	VIM	-0.318174813262434
9	GAPDH	0.0530095729024166
10	FTH1	-0.0504336105015389
11	MBNL1	0.00474517627387851
12	S100A10	-0.0673249180482473
13	CRIP1	-0.186013849128603
14	ARHGAP15	0.00959370417453938
15	TSHZ2	0.0804022337023106
16	ACTB	0.146517285317508
17	SH3BGRL3	0.153712932593781
18	SRGN	0.187321576331278
19	CALM1	0.328881492393635
20	TGFB1	-0.027431283210486
21	BICDL1	-0.0458128312799437
22	ATXN1	0.148706419897958
23	JARID2	0.175618629171886
24	CAMK4	-0.151864025167398
25	LOC703365	0.0953992198409708
26	CASK	0.270882688548972
27	GZMB	-0.0631733044022769
28	HNRNPA1	0.0400598843577294
29	LOC697687	-0.138941825427225
30	MT1JP	0.100947160239022
31	PRKCA	0.127864598196673
32	CELF2	-0.0223472363784053
33	LOC704083	0.0985225144213202
34	EEF1G	0.194327117960166
35	NKG7	-0.210005015418905
36	LAPTM5	-0.0923225377863399
37	GADD45B	0.0141789735569334
38	GPRIN3	0.00557020968092573
39	BTF3	0.0512006808552248
40	ARAP2	0.036764317173612
41	GNLY	-0.0838296997463534
42	ZEB1	-0.153615987252811
43	ZFP36	-0.362028225273802
44	LOC100426632	0.161545612681297
45	TRAF3	0.0704239509171581
46	JUN	-0.141174524395414
47	CD7	-0.0751605751712871
48	EML4	-0.182535142747281
49	NME2	0.154981613456465
50	CHST11	0.0390976154152308
51	EIF4G3	0.299896437124655
52	CST7	-0.474248815539762
53	ICOS	0.00100197273355542
54	STAT4	-0.0277857014790902
55	HINT1	0.183010395490466
56	PITPNC1	-0.255840900968527
57	LOC106996676	0.0367096484702757
58	AKAP13	-0.0257359868167287
59	RBM3	0.294618929489526
60	LOC701976	-0.230511962870578
61	KLF12	-0.0366571248305891
62	AHNAK	-0.170529497759039
63	TNFRSF4	0.329376797932799
64	LOC100427851	0.0539102884159055
65	AHR	0.135373647495795
66	MIR155HG	0.353884529100554
67	LRRC8C	0.197344403883844
68	FAM129A	0.0856687966586419
69	HIVEP1	0.0779089998333579
70	CD52	-0.210136738182969
71	FBXO11	0.132453907488812
72	TMEM131	-0.0198861077777548
73	CDKAL1	0.0738860723088837
74	PHACTR2	0.261016602916397
75	RGCC	0.00243225542077755
76	EPB41	-0.02586616819479
77	PELI1	0.129969054050211
78	SRRM2	0.0271200303113672
79	MTHFD1L	0.0352505233140825
80	SNX9	0.354395329172206
81	ARHGDIB	-0.202949348779983
82	H2AFZ	0.167473608579925
83	GPHN	0.103686612303243
84	IL2	0.191659395361735
85	FAM107B	0.0173164182927057
86	MYL6	-0.037614483345898
87	C11H12orf57	0.0265767860495728
88	COG5	0.100298113198721
89	TXNIP	-0.248665096376282
90	RNF213	-0.172569943514174
91	MPP7	-0.149018622036592
92	CDC14A	-0.122363498350513
93	FOS	-0.237119496428744
94	SOS1	0.0199270372684048
95	LOC100430627	0.149243307012832
96	SUPT3H	0.0738380189346232
97	IARS	0.377126967916889
98	CD99	-0.0144643016512482
99	ORAI1	0.298392893410895
100	AFF1	0.0352632092186842
101	PRDX6	0.044823144402209
102	LMBR1	0.0312923613859603
103	AGO2	0.162345270095911
104	NRIP1	-0.0261003774716425
105	LTB	-0.171089053863353
106	PIM3	0.229449268621298
107	CDK2AP2	0.316720235606367
108	LOC702677	0.0418517620954194
109	AFF3	0.0264343146816023
110	NFKBID	0.723565603980108
111	BTBD11	-0.0918876839767416
112	NR4A3	0.584484753288608
113	LRIG1	0.0145386044037156
114	LY6E-1	-0.161033913695173
115	SATB1	0.130502007408023
116	ALCAM	0.0988375987317306
117	TNFRSF9	0.609984022497038
118	SCFD2	0.329613432739166
119	SLAMF1	0.148593751937884
120	TXN	0.146288606889961
121	NFATC1	0.321292603302263
122	CEMIP2	0.0769033645316928
123	LOC107000371	0.152120827321792
124	TNFRSF18	0.202851797525415
125	SNX25	-0.017942126190121
126	LOC106999943	-0.01082900330455
127	TOX	-0.113476204524506
128	IL7R	-0.207214936208584
129	ATP8A1	-0.148043598157778
130	ZSWIM6	-0.0384042800184685
131	SH3BP5	-0.090449147298819
132	TOMM6	0.187984954505565
133	HIVEP3	0.123504577239893
134	ITCH	0.151988602077274
135	GLS	-0.0505314989680618
136	SELENOK	0.354404703788169
137	SPIDR	0.07514737037307
138	CARMIL1	-0.0317509914350539
139	NR4A1	0.871865041906758
140	ANTXR2	-0.0726790910685033
141	SPOCK2	0.024743080017731
142	SYTL2	-0.179858415287296
143	SLC9A9	-0.284782330193016
144	TNKS	0.0505574882964318
145	ARID5B	-0.0138461166729265
146	TGFBR3	-0.129093708331958
147	CCR7	0.0120914244916168
148	FNDC3B	0.219133181616583
149	LOC718777	0.0904955042771079
150	MAMU-DPB	-0.0895959368954483
151	LOC109910386	-0.143958654381831
152	SARAF	-0.0183161502297681
153	IL6ST	0.323775683018124
154	ZC3HAV1	-0.10705023941194
155	BCL2A1	0.200952413564152
156	IRF4	0.560605831729905
157	HCST	0.0188556006906545
158	CTNNA1	0.411581632427166
159	GATAD2B	0.0989366752042966
160	FKBP5	-0.00153372429933653
161	ZEB2	-0.0218238599901275
162	RNF38	-0.0444744631777648
163	ELL2	-0.0534036555717355
164	SYNE2	-0.068156273182975
165	SPPL2A	0.0522488765774116
166	USP3	0.00734062948508207
167	SLC25A5	0.158279755262004
168	ARL4C	-0.111093416326473
169	VSIR	0.440026030213551
170	KCNQ5	0.0456108138173885
171	HSPD1	0.0916785187564826
172	YPEL3	-0.264702827646145
173	CD82	0.354425123455443
174	SLC2A3	-0.0880075819973733
175	MYL12A	0.0483985556797309
176	ITGA4	0.0195919269649065
177	KLF10	0.286643982925994
178	IER2	-0.0940649904154357
179	ERO1B	0.0107867523762059
180	INTS6	-0.096582519480262
181	SNRPB	0.135806649504632
182	GTDC1	0.0220458332922446
183	SLMAP	0.0468650550798259
184	BANF1	0.100160819904339
185	GOLGB1	0.178593947744293
186	ATP2B4	-0.155866242298968
187	PECAM1	-0.0753811627134955
188	IL21	0.430827843320719
189	SLC4A7	-0.0575326567043014
190	IFI6	-0.0138769336121344
191	APOBEC3C	-0.194458572546379
192	SEC24D	0.563836332956137
193	ID2	-0.0386919373382221
194	RAC2	-0.0634319412769455
195	TAOK3	0.0573414088824946
196	CSRNP1	0.1464859814799
197	BCL11B	-0.192632548063887
198	PCNX1	-0.149362765273697
199	ITGB1	-0.056209786199576
200	PACS1	0.0557340807982167
201	TMCC1	0.141109325666619
202	SPTBN1	0.00317474072907616
203	SENP7	-0.115518064209463
204	LEF1	0.0717558154239122
205	TAGLN2	-0.166689321923359
206	KLF2	-0.357872470015951
207	SERTAD1	0.101715620149551
208	GADD45A	0.104131125654411
209	TRAF1	0.0647797360005015
210	PPDPF	-0.121731218029942
211	PCNX2	-0.00382062340668303
